service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250924,20991231
2,0,0,0,0,1,0,0,20250924,20991231
3,0,0,0,0,0,1,0,20250924,20991231
4,1,0,0,0,0,0,1,20250924,20991231
5,0,0,0,0,0,0,0,20250924,20991231
6,1,1,1,1,1,0,0,20250912,20991231
7,0,0,0,0,1,0,0,20250912,20991231
8,0,0,0,0,0,1,0,20250912,20991231
9,1,0,0,0,0,0,1,20250912,20991231
10,0,0,0,0,0,0,0,20251226,20991231
11,1,1,1,1,1,0,0,20260312,20991231
12,0,0,0,0,0,1,0,20260312,20991231
13,1,1,1,1,1,0,0,20251103,20991231
14,1,1,1,1,0,0,0,20251103,20991231
15,0,0,0,0,1,0,0,20251103,20991231
16,0,0,0,0,0,1,0,20251103,20991231
17,0,0,0,0,0,0,1,20251103,20991231
18,1,1,1,1,1,0,0,20260101,20991231
19,0,0,0,0,1,0,0,20260101,20991231
20,0,0,0,0,0,1,0,20260101,20991231
21,0,0,0,0,0,0,1,20251226,20991231
22,1,0,1,0,1,0,0,20260312,20991231
23,0,0,0,0,0,0,0,20260101,20991231
