from_stop_id,to_stop_id,transfer_type,min_transfer_time
891085001801,891085001801,2,180
891085013108,891085013108,2,180
891085013114,891085013114,2,180
891085003120,891085003120,2,180
891085003122,891085003122,2,180
891085003124,891085003124,2,180
891085013401,891085013401,2,180
891085013403,891085013403,2,180
891085013405,891085013405,2,180
891085013908,891085013908,2,180
891085013906,891085013906,2,180
891085013904,891085013904,2,180
891085013902,891085013902,2,180
891085003220,891085003220,2,180
891085003218,891085003218,2,180
891085003216,891085003216,2,180
891085003214,891085003214,2,180
891085003226,891085003226,2,180
891085000124,891085000124,2,180
891085020113,891085020113,2,180
891085020114,891085020114,2,180
891085020115,891085020115,2,180
891085020116,891085020116,2,180
891085020117,891085020117,2,180
891085020118,891085020118,2,180
891085020119,891085020119,2,180
891085020120,891085020120,2,180
891085020164,891085020164,2,180
891085000102,891085000102,2,180
891085000109,891085000109,2,180
891085000110,891085000110,2,180
891085000111,891085000111,2,180
891085000112,891085000112,2,180
891085000169,891085000169,2,180
891085000203,891085000203,2,180
891085000205,891085000205,2,180
891085000207,891085000207,2,180
891085000209,891085000209,2,180
891085010301,891085010301,2,180
891085010303,891085010303,2,180
891085010305,891085010305,2,180
891085000301,891085000301,2,180
891085000303,891085000303,2,180
891085000305,891085000305,2,180
891085000307,891085000307,2,180
891085000309,891085000309,2,180
891085000311,891085000311,2,180
891085000313,891085000313,2,180
891085000315,891085000315,2,180
891085010401,891085010401,2,180
891085010403,891085010403,2,180
891085010407,891085010407,2,180
891085000401,891085000401,2,180
891085000403,891085000403,2,180
891085000405,891085000405,2,180
891085000407,891085000407,2,180
891085000409,891085000409,2,180
891085000501,891085000501,2,180
891085000503,891085000503,2,180
891085000601,891085000601,2,180
891085000603,891085000603,2,180
891085000605,891085000605,2,180
891085000607,891085000607,2,180
891085000609,891085000609,2,180
891085000611,891085000611,2,180
891085000613,891085000613,2,180
891085000615,891085000615,2,180
891085000617,891085000617,2,180
891085000619,891085000619,2,180
891085000621,891085000621,2,180
891085000623,891085000623,2,180
891085000701,891085000701,2,180
891085000703,891085000703,2,180
891085000705,891085000705,2,180
891085000707,891085000707,2,180
891085000709,891085000709,2,180
891085000711,891085000711,2,180
891085010701,891085010701,2,180
891085010703,891085010703,2,180
891085010705,891085010705,2,180
891085010707,891085010707,2,180
891085010709,891085010709,2,180
891085010711,891085010711,2,180
891085011901,891085011901,2,180
891085011903,891085011903,2,180
891085011905,891085011905,2,180
891085011907,891085011907,2,180
891085000801,891085000801,2,180
891085000802,891085000802,2,180
891085000804,891085000804,2,180
891085000805,891085000805,2,180
891085000909,891085000909,2,180
891085040104,891085040104,2,180
891085000620,891085000620,2,180
891085000618,891085000618,2,180
891085000616,891085000616,2,180
891085000614,891085000614,2,180
891085000612,891085000612,2,180
891085000610,891085000610,2,180
891085000608,891085000608,2,180
891085000606,891085000606,2,180
891085000604,891085000604,2,180
891085000602,891085000602,2,180
891085000410,891085000410,2,180
891085000408,891085000408,2,180
891085000406,891085000406,2,180
891085000404,891085000404,2,180
891085000402,891085000402,2,180
891085010408,891085010408,2,180
891085010404,891085010404,2,180
891085010406,891085010406,2,180
891085010402,891085010402,2,180
891085000314,891085000314,2,180
891085000312,891085000312,2,180
891085000310,891085000310,2,180
891085000308,891085000308,2,180
891085000306,891085000306,2,180
891085000304,891085000304,2,180
891085000302,891085000302,2,180
891085010306,891085010306,2,180
891085010304,891085010304,2,180
891085010302,891085010302,2,180
891085000210,891085000210,2,180
891085000208,891085000208,2,180
891085000206,891085000206,2,180
891085000204,891085000204,2,180
891085020103,891085020103,2,180
891085020104,891085020104,2,180
891085020162,891085020162,2,180
891085020106,891085020106,2,180
891085020107,891085020107,2,180
891085020108,891085020108,2,180
891085000910,891085000910,2,180
891085000906,891085000906,2,180
891085000904,891085000904,2,180
891085000902,891085000902,2,180
891085000810,891085000810,2,180
891085000811,891085000811,2,180
891085000803,891085000803,2,180
891085000818,891085000818,2,180
891085000812,891085000812,2,180
891085000806,891085000806,2,180
891085000813,891085000813,2,180
891085011908,891085011908,2,180
891085011906,891085011906,2,180
891085011904,891085011904,2,180
891085011902,891085011902,2,180
891085010712,891085010712,2,180
891085010710,891085010710,2,180
891085010708,891085010708,2,180
891085010706,891085010706,2,180
891085010704,891085010704,2,180
891085010702,891085010702,2,180
891085000712,891085000712,2,180
891085000710,891085000710,2,180
891085000708,891085000708,2,180
891085000704,891085000704,2,180
891085000702,891085000702,2,180
891085000622,891085000622,2,180
891085020101,891085020101,2,180
891085020159,891085020159,2,180
891085000147,891085000147,2,180
891085003101,891085003101,2,180
891085003110,891085003110,2,180
891085020108,891085020108,2,180
891085001101,891085001101,2,180
891085001103,891085001103,2,180
891085001105,891085001105,2,180
891085001114,891085001114,2,180
891085001610,891085001610,2,180
891085001611,891085001611,2,180
891085012105,891085012105,2,180
891085012106,891085012106,2,180
891085012107,891085012107,2,180
891085010313,891085010313,2,180
891085010314,891085010314,2,180
891085010315,891085010315,2,180
891085010316,891085010316,2,180
891085010317,891085010317,2,180
891085000117,891085000117,2,180
891085000118,891085000118,2,180
891085000119,891085000119,2,180
891085000120,891085000120,2,180
891085000121,891085000121,2,180
891085000122,891085000122,2,180
891085000123,891085000123,2,180
891085003226,891085003226,2,180
891085003213,891085003213,2,180
891085003215,891085003215,2,180
891085003217,891085003217,2,180
891085003219,891085003219,2,180
891085003221,891085003221,2,180
891085013901,891085013901,2,180
891085013903,891085013903,2,180
891085013909,891085013909,2,180
891085013910,891085013910,2,180
891085013911,891085013911,2,180
891085013912,891085013912,2,180
891085013913,891085013913,2,180
891085013914,891085013914,2,180
891085013905,891085013905,2,180
891085013907,891085013907,2,180
891085013404,891085013404,2,180
891085013407,891085013407,2,180
891085013402,891085013402,2,180
891085003125,891085003125,2,180
891085003123,891085003123,2,180
891085003121,891085003121,2,180
891085003115,891085003115,2,180
891085020123,891085020123,2,180
891085020124,891085020124,2,180
891085020125,891085020125,2,180
891085020126,891085020126,2,180
891085020127,891085020127,2,180
891085020128,891085020128,2,180
891085020129,891085020129,2,180
891085000502,891085000502,2,180
891085000504,891085000504,2,180
891085003107,891085003107,2,180
891085003108,891085003108,2,180
891085003109,891085003109,2,180
891085003111,891085003111,2,180
891085003112,891085003112,2,180
891085003113,891085003113,2,180
891085003114,891085003114,2,180
891085000102,891085000102,2,180
891085000807,891085000807,2,180
891085000808,891085000808,2,180
891085000809,891085000809,2,180
891085000901,891085000901,2,180
891085000903,891085000903,2,180
891085000905,891085000905,2,180
891085000907,891085000907,2,180
891085000908,891085000908,2,180
891085000912,891085000912,2,180
891085011806,891085011806,2,180
891085011804,891085011804,2,180
891085011802,891085011802,2,180
891085000102,891085000102,2,180
891085000128,891085000128,2,180
891085000129,891085000129,2,180
891085000130,891085000130,2,180
891085000131,891085000131,2,180
891085000132,891085000132,2,180
891085000133,891085000133,2,180
891085000134,891085000134,2,180
891085000127,891085000127,2,180
891085003102,891085003102,2,180
891085003104,891085003104,2,180
891085003105,891085003105,2,180
891085003106,891085003106,2,180
891085000135,891085000135,2,180
891085003103,891085003103,2,180
891085011801,891085011801,2,180
891085011803,891085011803,2,180
891085011805,891085011805,2,180
891085000913,891085000913,2,180
891085013113,891085013113,2,180
891085013107,891085013107,2,180
891085001803,891085001803,2,180
891085013702,891085013702,2,180
891085013703,891085013703,2,180
891085013704,891085013704,2,180
891085013705,891085013705,2,180
891085013818,891085013818,2,180
891085013815,891085013815,2,180
891085013814,891085013814,2,180
891085013812,891085013812,2,180
891085013810,891085013810,2,180
891085013806,891085013806,2,180
891085013804,891085013804,2,180
891085013802,891085013802,2,180
891085003209,891085003209,2,180
891085013707,891085013707,2,180
891085010311,891085010311,2,180
891085010312,891085010312,2,180
891085012101,891085012101,2,180
891085012103,891085012103,2,180
891085001113,891085001113,2,180
891085001110,891085001110,2,180
891085001104,891085001104,2,180
891085001106,891085001106,2,180
891085001102,891085001102,2,180
891085000160,891085000160,2,180
891085000161,891085000161,2,180
891085000162,891085000162,2,180
891085000163,891085000163,2,180
891085000164,891085000164,2,180
891085003201,891085003201,2,180
891085003203,891085003203,2,180
891085003205,891085003205,2,180
891085003207,891085003207,2,180
891085003301,891085003301,2,180
891085003303,891085003303,2,180
891085003305,891085003305,2,180
891085003307,891085003307,2,180
891085003309,891085003309,2,180
891085003311,891085003311,2,180
891085003313,891085003313,2,180
891085003315,891085003315,2,180
891085003317,891085003317,2,180
891085003319,891085003319,2,180
891085003401,891085003401,2,180
891085003403,891085003403,2,180
891085003405,891085003405,2,180
891085003407,891085003407,2,180
891085003409,891085003409,2,180
891085003411,891085003411,2,180
891085003413,891085003413,2,180
891085003415,891085003415,2,180
891085003501,891085003501,2,180
891085003503,891085003503,2,180
891085003607,891085003607,2,180
891085003601,891085003601,2,180
891085003603,891085003603,2,180
891085003711,891085003711,2,180
891085003703,891085003703,2,180
891085003705,891085003705,2,180
891085003707,891085003707,2,180
891085003713,891085003713,2,180
891085003717,891085003717,2,180
891085003715,891085003715,2,180
891085003709,891085003709,2,180
891085003901,891085003901,2,180
891085003903,891085003903,2,180
891085003809,891085003809,2,180
891085003811,891085003811,2,180
891085003813,891085003813,2,180
891085003815,891085003815,2,180
891085003817,891085003817,2,180
891085003800,891085003800,2,180
891085003800,891085003800,2,180
891085040105,891085040105,2,180
891085003816,891085003816,2,180
891085003814,891085003814,2,180
891085003812,891085003812,2,180
891085003810,891085003810,2,180
891085003906,891085003906,2,180
891085003912,891085003912,2,180
891085003902,891085003902,2,180
891085003716,891085003716,2,180
891085003718,891085003718,2,180
891085003714,891085003714,2,180
891085003708,891085003708,2,180
891085003706,891085003706,2,180
891085003702,891085003702,2,180
891085003604,891085003604,2,180
891085003602,891085003602,2,180
891085003608,891085003608,2,180
891085003504,891085003504,2,180
891085003502,891085003502,2,180
891085003418,891085003418,2,180
891085003416,891085003416,2,180
891085003414,891085003414,2,180
891085003412,891085003412,2,180
891085003410,891085003410,2,180
