"Douglas, Lord Street",07:50,08:50,13:05
"National Sports Centre, Groves Road",07:56,08:57,13:12
Newtown Chapel,08:04,09:04,13:20
Ballasalla Station / The Paddocks,08:11,09:13,13:28
"Airport entrance, arr",08:14,09:17,13:32
"Airport entrance, dep",08:15,09:18,13:33
"Castletown Square / The Parade, arr",08:21,09:25,13:40
"Castletown Square / The Parade, dep",08:22,09:26,13:41
Colby Methodist Church,08:31,09:35,13:50
"Port Erin Railway Station, arr",08:38,09:43,13:58
"Port Erin Railway Station, dep",08:44,09:50,
"Port St Mary, Harbour, arr",08:53,09:59,
