"Douglas, Lord Street",07:50,08:50,13:05
"Lord Street, Hanover House",07:51,08:51,13:06
"Clinch's House Lord Street",07:52,08:52,13:07
"Peel Road Brown Bobby",07:53,08:53,13:08
"Hills Meadow",07:53,08:54,13:09
"Middle River Industrial Estate",07:54,08:55,13:10
"Groves Road / Power Station",07:55,08:56,13:11
"National Sports Centre, Groves Road",07:56,08:57,13:12
"Groves Road / Springfield Avenue",07:57,08:58,13:13
"New Castletown Road",07:58,08:58,13:14
"Anagh Coar entrance / Castletown Road",07:58,08:59,13:14
"Hampton Farm Estate, layby",07:59,09:00,13:15
"Four Roads shelter, Anagh Coar",08:00,09:01,13:16
"Horses Home Southbound",08:01,09:01,13:17
"Rosehill Farm",08:02,09:02,13:18
"The Forge Entrance",08:02,09:03,13:18
"Mount Murray / Ballacutchell Road",08:03,09:03,13:19
"Newtown Chapel",08:04,09:04,13:20
"Santon School Layby",08:05,09:05,13:21
"Santon School",08:05,09:06,13:22
"Santon Railway Station Towards Castletown",08:06,09:07,13:22
"Fairy Bridge Southbound",08:07,09:08,13:23
"Orrisdale Road",08:08,09:09,13:24
"Orrisdale Road / Ballacreggan",08:08,09:09,13:25
"Glashen Close",08:09,09:10,13:26
"Opposite Whitestone Garage",08:10,09:11,13:26
"Ballasalla Main Stop Southbound",08:10,09:12,13:27
"Ballasalla Station / The Paddocks",08:11,09:13,13:28
"The Sycamores",08:12,09:14,13:29
"Airport Roundabout - southbound",08:13,09:16,13:31
"Airport entrance",08:14,09:17,13:32
"",08:15,09:18,13:33
"Opposite Brookfields Avenue",08:16,09:19,13:34
"King William's College",08:16,09:20,13:35
"Janet's Corner Entrance",08:17,09:21,13:36
"Victoria Road / Bowling Green Road",08:18,09:21,13:36
"Castletown Station / The Sidings",08:19,09:22,13:37
"Victoria Road Primary School",08:19,09:23,13:38
"Victoria Road / Brewery Wharf",08:20,09:24,13:39
"Castletown Square / The Parade",08:21,09:25,13:40
"",08:22,09:26,13:41
"Farrants Way / Kissack Road",08:23,09:27,13:42
"Castle Rushen High School",08:23,09:27,13:42
"Red Gapp / Royal Life",08:24,09:28,13:43
"Ballalough Estate",08:25,09:29,13:44
"Ballakeighan Cottage",08:26,09:30,13:45
"Ballabeg Railway Station",08:26,09:30,13:45
"Ballabeg Three Roads",08:27,09:31,13:46
"Friary Park Farm",08:28,09:32,13:47
"Ballabeg Hall, shelter",08:29,09:33,13:48
"Vicarage Close Shelter",08:29,09:33,13:48
"Keyhole Farm Entrance",08:30,09:34,13:49
"Colby Methodist Church",08:31,09:35,13:50
"Opposite Belle Abbey Chapel",08:32,09:36,13:51
"The Level Southbound",08:32,09:36,13:51
"The Level / Croit-E-Caley Junction",08:33,09:37,13:52
"Colby, opposite Carrick Bay View",08:33,09:38,13:53
"Ballagawne",08:34,09:38,13:53
"Ballafesson, shelter",08:35,09:39,13:54
"Ballafesson Road",08:35,09:40,13:55
"Barrack Road Junction",08:36,09:40,13:55
"Ponyfields Entrance",08:36,09:41,13:56
"Marashen Crescent",08:37,09:42,13:57
"Station Road Shelter",08:37,09:42,13:57
"Port Erin Railway Station",08:38,09:43,13:58
