,Mondays to Fridays,Mondays to Fridays,Mondays to Fridays,Saturdays,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday,Monday To Saturday
,Sch,Sch,Sch,,,,,,,,,,,,,,,,,,
Place,3a,3b,3,3a,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Douglas, Lord Street Stand D",635,,740,635,740,,810,840,910,940,1010,1040,1 1 10, 1 140,1210,1240,1310,1340,1410,1440,1 510
"Rosemount, Trinity Church",638,,744,638,744,,814,844,914,944,1014,1044,1 1 14, 1 144,1214,1244,1314,1344,1414,1444,1 514
"St Ninian's, school",,,748,,748,,081 8,848,918,948,1018,1048,1 1 18, 1 148,1218,1248,1318,1348,1418,1448,1 518
"Glencrutchery Road, Greenfield Road",,,750,,750,,820,850,920,950,1020,1050,1 120, 1 1 50,1220,1250,1320,1350,1420,1450,1 520
"Victoria Road, Tesco",644,,,644,,,,,,,,,,,,,,,,,
"Onchan, Manx Arms",648,,755,648,755,,825,855,925,955,1025,1055,1 125, 1 1 55,1 225,1255,1325,1355,1425,1455,1 525
"Ballachrink, shop",,,,651,758,,,,,,,,,,,,,,,,
"Baldrine, Methodist Hall",653,801,800,657,804,,830,900,930,1000,1030,1 100,1 130,1200,1 230,1300,1330,1400,1430,1500,1 530
"Laxey, MER shelter",701,806,808,704,812,,838,908,938,1008,1038,1 108,1 138,1208,1238,1308,1338,1408,1438,1508,1 538
Ballaragh,,081 2,,,,,,,,,,,,,,,,,,,
"Dhoon Glen, car park",708,814,081 5,071 1,819,,845,091 5,945,101 5,1045,1 1 1 5,1 145,1215,1 245, 131 5,1345,141 5,1445,1 515,1 545
"Glen Mona, Ballagorry Drive",711,817,818,714,823,,848,918,948,101 8,1048,1 1 18,1 148,1218,1248,1318,1348,1418,1448,1 518,1 548
"Ramsey, Bus Station",723,840,831,727,835,,901,931,1001,1031,1 101,1 131,1201,1231,1301,1331,1401,1431,1501,1531,1601
Ramsey Grammar School,,845,836,,,,,,,,,,,,,,,,,,
